N-gram turi;N-gram;Chastota
Unigram;bir;355
Unigram;bu;110
Unigram;ne;91
Unigram;de;84
Unigram;gibi;83
Unigram;o;74
Unigram;ben;73
Unigram;ve;70
Unigram;fakat;66
Unigram;müjgân;61
Unigram;için;58
Unigram;dedi;51
Unigram;sonra;51
Unigram;kadar;50
Unigram;da;48
Unigram;dedim;48
Unigram;beni;45
Unigram;bana;44
Unigram;şey;40
Unigram;diye;40
Unigram;ki;38
Unigram;daha;37
Unigram;kâmran;36
Unigram;biraz;35
Unigram;feride;34
Unigram;gün;28
Unigram;tekrar;27
Unigram;her;26
Unigram;benim;25
Unigram;değil;24
Unigram;yalnız;23
Unigram;zaman;23
Unigram;onun;22
Unigram;artık;22
Unigram;halde;22
Unigram;mi;22
Unigram;amma;21
Unigram;yok;20
Unigram;çok;20
Unigram;kendimi;19
Unigram;nasıl;19
Unigram;kendi;19
Unigram;öyle;18
Unigram;beraber;17
Unigram;onu;17
Unigram;var;17
Unigram;yavaş;17
Unigram;iki;17
Unigram;yine;16
Unigram;abla;16
Unigram;karşı;15
Unigram;birkaç;15
Unigram;etti;15
Unigram;sen;15
Unigram;birdenbire;15
Unigram;başladım;15
Unigram;doğru;15
Unigram;zavallı;15
Unigram;ile;15
Unigram;şimdi;14
Unigram;kâmranın;14
Unigram;yahut;14
Unigram;teyzem;14
Unigram;başka;13
Unigram;büyük;13
Unigram;vardı;13
Unigram;kuzenim;13
Unigram;güzel;13
Unigram;böyle;13
Unigram;müjgânın;13
Unigram;küçük;12
Unigram;maamafih;12
Unigram;başımı;12
Unigram;senin;12
Unigram;hiç;12
Unigram;kim;11
Unigram;devam;11
Unigram;içinde;11
Unigram;galiba;11
Unigram;bunu;11
Unigram;yere;11
Unigram;mutlaka;11
Unigram;ya;11
Unigram;bize;11
Unigram;olduğu;10
Unigram;benimle;10
Unigram;olduğunu;10
Unigram;kız;10
Unigram;allah;10
Unigram;ona;10
Unigram;insan;10
Unigram;sefer;10
Unigram;gözlerini;10
Unigram;mı;10
Unigram;diyordu;10
Unigram;kendime;10
Unigram;niçin;10
Unigram;va;10
Unigram;haydi;9
Unigram;lâzım;9
Unigram;yoktu;9
Unigram;etmek;9
Unigram;hakikaten;9
Unigram;bunun;9
Unigram;demek;9
Unigram;hemen;9
Unigram;cevap;9
Unigram;onunla;9
Unigram;arasında;9
Unigram;bile;9
Unigram;buna;9
Unigram;versin;8
Unigram;olan;8
Unigram;yanında;8
Unigram;gülerek;8
Unigram;pek;8
Unigram;hem;8
Unigram;fazla;8
Unigram;hafif;8
Unigram;bizi;8
Unigram;arasıra;8
Unigram;rağmen;8
Unigram;en;8
Unigram;teyzemle;8
Unigram;denize;8
Unigram;müjgânla;8
Unigram;gece;8
Unigram;teyze;8
Unigram;hangi;7
Unigram;büsbütün;7
Unigram;işi;7
Unigram;çocuk;7
Unigram;uzun;7
Unigram;olur;7
Unigram;evvel;7
Unigram;türlü;7
Unigram;sesle;7
Unigram;ellerimi;7
Unigram;evvelâ;7
Unigram;fena;7
Unigram;aşağı;7
Unigram;akşam;7
Unigram;ihtiyar;7
Unigram;seni;7
Unigram;misafir;7
Unigram;deli;7
Unigram;cesaret;7
Unigram;bayırın;7
Unigram;arkama;7
Unigram;balıkçı;7
Unigram;aralık;7
Unigram;nihayet;7
Unigram;teyzemin;7
Unigram;hızlı;7
Unigram;hattâ;6
Unigram;çare;6
Unigram;yanına;6
Unigram;kuzenimin;6
Unigram;birbirine;6
Unigram;onların;6
Unigram;iyi;6
Unigram;sene;6
Unigram;yüzüme;6
Unigram;muhakkak;6
Unigram;yüzüne;6
Unigram;baş;6
Unigram;nazik;6
Unigram;alarak;6
Unigram;oldu;6
Unigram;hiddetle;6
Unigram;şeyler;6
Unigram;köşkte;6
Unigram;başladı;6
Unigram;olarak;6
Unigram;kâmranı;6
Unigram;hanım;6
Unigram;ayşe;6
Unigram;razı;6
Unigram;kimse;6
Unigram;müjgânı;6
Unigram;son;6
Unigram;deniz;6
Unigram;taş;6
Unigram;başını;6
Unigram;evet;6
Unigram;peki;6
Unigram;sana;6
Unigram;müjgâna;6
Unigram;nişanlı;6
Unigram;yol;5
Unigram;tabiî;5
Unigram;belki;5
Unigram;bileyim;5
Unigram;elini;5
Unigram;esnada;5
Unigram;yanıma;5
Unigram;bunlar;5
Unigram;olsa;5
Unigram;çıktı;5
Unigram;ayıp;5
Unigram;doğrusu;5
Unigram;siz;5
Unigram;benzer;5
Unigram;genç;5
Unigram;on;5
Unigram;lüzum;5
Unigram;şu;5
Unigram;tuhaf;5
Unigram;el;5
Unigram;gülmeğe;5
Unigram;olsun;5
Unigram;kocaman;5
Unigram;şeyi;5
Unigram;saçlarımı;5
Unigram;kâmrana;5
Unigram;işte;5
Unigram;seviyorum;5
Unigram;nereden;5
Unigram;musun;5
Unigram;üzere;5
Unigram;içine;5
Unigram;insanı;5
Unigram;bilir;5
Unigram;bütün;5
Unigram;sinsi;5
Unigram;zorla;5
Unigram;olduğumu;5
Unigram;lâkırdı;5
Unigram;ikide;5
Unigram;birde;5
Unigram;değildi;5
Unigram;necmiye;5
Unigram;biri;5
Unigram;olacak;5
Unigram;yabancı;5
Unigram;tâ;5
Unigram;bereket;5
Unigram;kendini;5
Unigram;çıplak;5
Unigram;geliyor;5
Unigram;değilim;5
Unigram;yolun;5
Unigram;kenarına;5
Unigram;okşıyarak;5
Unigram;geri;5
Unigram;hayır;5
Unigram;insanlar;5
Unigram;gördüm;5
Unigram;uslu;5
Unigram;nişan;5
Unigram;bırak;4
Unigram;misafiri;4
Unigram;önüme;4
